store_nbr,store_name,chain_name,store_state,target,total_orders,total_items,total_brands,total_sales,total_qty,avg_invoice_value,sales_per_order,qty_per_order,items_per_order,brands_per_order,adoption_probability,segment,potential_revenue
47695,OLIVER'S MARKET MONTECITO,37,2,0,155,94,6,90560.28,2076,53.39639151,584.259871,13.39354839,0.606451613,0.038709677,0.67640996,Medium Potential,61255.87535365105
19590,DAILY STOP SUPERMARKET,4,26,0,20,41,7,3271.38,74,47.41130435,163.569,3.7,2.05,0.35,0.67341554,Medium Potential,2202.9981346392633
16626010,LA MEXICANA BGA-010,20,28,0,29,25,5,7339.78,152,76.45604167,253.0958621,5.24137931,0.862068966,0.172413793,0.6688756,Medium Potential,4909.399568355083
15112010,TALLENT SAUSAGE & GR-010,20,28,0,16,12,5,815.06,19,42.89789474,50.94125,1.1875,0.75,0.3125,0.66521466,Medium Potential,542.1898589730263
31133,#670 MARKET FRESH OF NEWBURGH,6,20,0,116,107,7,39059.0634,827,58.91261448,336.7160638,7.129310345,0.922413793,0.060344828,0.66258156,Medium Potential,25879.81527672837
47186,MENDOTA FOOD CENTER,37,2,0,49,67,6,16347.64,307,56.76263889,333.6253061,6.265306122,1.367346939,0.12244898,0.65648746,Medium Potential,10732.02074077606
18555,KURKMANS MARKET,4,10,0,58,88,11,12904.04,327,40.07465839,222.4834483,5.637931034,1.517241379,0.189655172,0.65289026,Medium Potential,8424.92209501505
48166,STOCKTON SUPERMERCADO,37,2,0,14,28,5,9933.12,194,72.50452555,709.5085714,13.85714286,2.0,0.357142857,0.64471245,Medium Potential,6404.006112670899
19395,BROOKSIDE MARKET,4,3,0,77,91,11,14215.35,335,42.4338806,184.6149351,4.350649351,1.181818182,0.142857143,0.6377119,Medium Potential,9065.297610193491
34349,KING'S RED & WHITE,29,16,0,64,81,6,6695.9411,146,47.48894397,104.6240797,2.28125,1.265625,0.09375,0.6374203,Medium Potential,4268.128762440193
47716,STATE FOODS FIREBAUGH,37,2,0,55,101,10,18457.43,497,45.57390123,335.5896364,9.036363636,1.836363636,0.181818182,0.6359741,Medium Potential,11738.447601869702
46178,EL CASTILLO CARNICERIA FD MARKET,37,2,0,46,40,7,8377.37,173,48.99046784,182.1167391,3.760869565,0.869565217,0.152173913,0.6309217,Medium Potential,5285.464701694251
11469010,BORDER TOWN FOODS #10-010,20,28,0,47,72,6,13826.74,297,54.43598425,294.1859574,6.319148936,1.531914894,0.127659574,0.62289023,Medium Potential,8612.541313967704
31217,#425 GREEN WAY MARKET OF MAPLEWOOD,6,18,0,30,58,8,6893.0085,153,45.64906291,229.76695,5.1,1.933333333,0.266666667,0.61637324,Medium Potential,4248.665989025205
45121,LOS NOVILLOS MARKET #5,37,2,0,49,75,7,13225.04,237,57.50017391,269.8987755,4.836734694,1.530612245,0.142857143,0.61565083,Medium Potential,8142.006887869836
47643,WESTRIDGE MIDTOWN MARKET,37,2,0,127,107,14,28452.3,628,45.45095847,224.0338583,4.94488189,0.842519685,0.11023622,0.61521345,Medium Potential,17504.237750691176
11298010,BORDER TOWN FOODS #12-010,20,28,0,47,68,6,10339.09,232,49.70716346,219.9806383,4.936170213,1.446808511,0.127659574,0.6151932,Medium Potential,6360.537740088105
11297010,BORDER TOWN FOODS #11-010,20,28,0,37,68,6,8525.53,191,49.56703488,230.4197297,5.162162162,1.837837838,0.162162162,0.61382765,Medium Potential,5233.206008915306
34434,LONG BRANCH COUNTRY STORE,29,16,0,14,21,5,844.12,26,32.46615385,60.29428571,1.857142857,1.5,0.357142857,0.6103935,Medium Potential,515.2453816223144
45127,TORO LOCO MARKET SANTA MARIA,37,2,0,79,85,7,26142.33,506,58.35341518,330.9155696,6.405063291,1.075949367,0.088607595,0.60671157,Medium Potential,15860.853984906078
25694,KLEIN'S SUPERMARKET,24,24,0,152,124,12,49032.5512,1224,41.87237506,322.5825737,8.052631579,0.815789474,0.078947368,0.6027814,Medium Potential,29555.910592692664
45824,FRIENDLY MARKET CENTER,37,8,0,91,72,6,84249.5,1588,95.41279728,925.8186813,17.45054945,0.791208791,0.065934066,0.5993698,Medium Potential,50496.6079814136
45212,VALLEY FRESH MARKET II,37,2,0,53,132,12,28622.95,550,59.88064854,540.0556604,10.37735849,2.490566038,0.226415094,0.5939947,Medium Potential,17001.87994194925
45211,MIDTOWN MARKET,37,2,0,13,29,6,2064.72,43,48.01674419,158.8246154,3.307692308,2.230769231,0.461538462,0.5901901,Medium Potential,1218.5773292684553
19355,HYDE MEAT CORP,4,10,0,35,51,6,5172.32,139,57.47022222,147.7805714,3.971428571,1.457142857,0.171428571,0.58692795,Medium Potential,3035.7791763210294
19548,STEVE'S QUALITY MARKET,4,10,0,80,57,7,9863.65,242,42.69978355,123.295625,3.025,0.7125,0.0875,0.58417314,Medium Potential,5762.079421064257
24009,FRESCO Y MAS #0252,7,6,0,78,119,8,23057.509,504,46.20743287,295.6090897,6.461538462,1.525641026,0.102564103,0.58399105,Medium Potential,13465.37890790081
46023,FOSTER'S RANCH MARKET*CPU,37,2,0,45,26,6,3828.41,92,41.61315217,85.07577778,2.044444444,0.577777778,0.133333333,0.5837301,Medium Potential,2234.758158210516
18356,SALEM MCKINNON'S MARKETPLACE,4,17,0,182,144,12,31956.76,791,41.07552699,175.5865934,4.346153846,0.791208791,0.065934066,0.58056855,Medium Potential,18553.089880361556
11966010,CULEBRA SPR MT MKT 33-010,20,28,0,26,24,6,2109.78,48,41.36823529,81.14538462,1.846153846,0.923076923,0.230769231,0.5798505,Medium Potential,1223.3569770491124
24010,FRESCO Y MAS #0270,7,6,0,39,113,8,13269.901,289,46.23658885,340.2538718,7.41025641,2.897435897,0.205128205,0.57702905,Medium Potential,7657.118359615863
16792010,CRNCRIA EL PAYA BGA-010,20,28,0,5,5,2,163.33,6,27.22166667,32.666,1.2,1.0,0.4,0.57528704,Medium Potential,93.96163290441037
11499010,BORDER TOWN FOODS #13-010,20,28,0,52,59,6,22066.76,484,68.958625,424.3607692,9.307692308,1.134615385,0.115384615,0.57235175,Medium Potential,12629.948784735201
46163,DELUXE FOODS MARKET-APTOS,37,2,0,89,74,7,27116.97,551,49.93917127,304.6850562,6.191011236,0.831460674,0.078651685,0.5641141,Medium Potential,15297.064957623483
18546,FELLS MARKET,4,10,0,54,50,8,4468.14,135,40.61945455,82.74333333,2.5,0.925925926,0.148148148,0.5587383,Medium Potential,2496.520908726454
45013,TROPICANA SUPERMARKET,37,2,0,47,75,6,17096.82,210,85.05880597,363.7621277,4.468085106,1.595744681,0.127659574,0.5560889,Medium Potential,9507.35224459648
34319,SEABRA FOODS #14,29,6,0,89,96,6,11109.1976,255,44.08411746,124.8224449,2.865168539,1.078651685,0.06741573,0.5550383,Medium Potential,6166.029854035806
46766,ANDY'S LOCAL MARKET,37,2,0,49,39,7,8172.16,178,45.91101124,166.7787755,3.632653061,0.795918367,0.142857143,0.55313253,Medium Potential,4520.287569274902
45373,ARTEAGA'S SUPER SAVE # 2,37,2,0,51,65,6,10142.48,203,49.96295567,198.8721569,3.980392157,1.274509804,0.117647059,0.5502928,Medium Potential,5581.333616070747
46198,RANCH MARKET TOO,37,2,0,30,32,9,3930.84,76,51.72157895,131.028,2.533333333,1.066666667,0.3,0.54449356,Medium Potential,2140.31704975605
47642,WESTRIDGE MARKET #1,37,2,0,63,34,7,5313.68,132,40.25515152,84.34412698,2.095238095,0.53968254,0.111111111,0.5404009,Medium Potential,2871.517572798729
47602,VALLEY FRESH MARKET,37,2,0,95,120,12,36182.93,686,54.16606287,380.8729474,7.221052632,1.263157895,0.126315789,0.53926146,Medium Potential,19512.05966988683
45176,MERCADO LA PRINCESA MARKET #3,37,2,0,38,48,6,6240.54,118,53.33794872,164.2247368,3.105263158,1.263157895,0.157894737,0.5380113,Medium Potential,3357.481116013527
59800,MICK-NUCKS FRESH MKT PLC,27,10,0,23,18,5,1793.08,41,43.73365854,77.96,1.782608696,0.782608696,0.217391304,0.5370482,Medium Potential,962.9704234552383
47554,SANTA FE FOODS-SALINAS,37,2,0,93,51,6,12782.18,194,66.22891192,137.4427957,2.086021505,0.548387097,0.064516129,0.53515744,Medium Potential,6840.478753170967
45187,MERCED VALLEY FOOD,37,2,0,23,58,6,7495.19,168,45.98276074,325.8778261,7.304347826,2.52173913,0.260869565,0.53222823,Medium Potential,3989.151717932224
64556,GIANT FOOD MART-WELLSVILLE,2,20,0,53,92,6,9593.8996,209,46.57232816,181.0169736,3.943396226,1.735849057,0.113207547,0.5292801,Medium Potential,5077.860390029025
18501,DANVERS MCKINNON'S BUTCHER SHOP,4,10,0,194,101,10,36672.22,1011,38.80658201,189.0320619,5.211340206,0.520618557,0.051546392,0.52784157,Medium Potential,19357.122106590272
13372010,JUDICE'S GROCERIES-010,20,28,0,1,3,0,84.93,6,28.31,84.93,6.0,3.0,0.0,0.5242842,Medium Potential,44.527455745339395
16724010,LOS JEFE'S RESTAURANT SUPPLY & SUPERMARKET-010,20,28,0,28,45,6,3008.59,82,36.24807229,107.4496429,2.928571429,1.607142857,0.214285714,0.5208657,Medium Potential,1567.0712725424767
12371010,ELROY & ROSS MARKET-010,20,28,0,39,28,6,5133.61,88,59.69313953,131.6310256,2.256410256,0.717948718,0.153846154,0.5193394,Medium Potential,2666.0858481580017
15657010,VERAS KING O MEATS 3-010,20,28,0,2,2,0,60.13,2,30.065,30.065,1.0,1.0,0.0,0.5169021,Medium Potential,31.08132261872292
46463,TAMURA'S WAILUKU,37,8,0,108,69,6,17814.14,392,50.0397191,164.9457407,3.62962963,0.638888889,0.055555556,0.5146085,Medium Potential,9167.307906730175
31234,MORTON WILLIAMS-BURGUNDY,6,20,0,53,70,6,15436.2081,335,49.63410965,291.2492094,6.320754717,1.320754717,0.113207547,0.5110865,Medium Potential,7889.237934358889
46349,ZANOTTO'S WILLOW GLEN,37,2,0,146,98,16,31148.68,731,52.97394558,213.3471233,5.006849315,0.671232877,0.109589041,0.4997611,Low Potential,15566.898723125458
18317,HIGHLAND PARK FARMINGTON,4,3,0,242,161,13,60258.45,1493,40.9086558,249.0018595,6.169421488,0.665289256,0.053719008,0.49440312,Low Potential,29791.965918695925
47586,ZANOTTO'S SUNNYVALE MARKET,37,2,0,197,111,16,29044.75,734,39.84190672,147.4352792,3.725888325,0.563451777,0.081218274,0.48685476,Low Potential,14140.574843920767
45477,DON QUIJOTE PEARL CITY,37,8,0,177,81,7,32270.83,573,64.54166,182.3210734,3.237288136,0.457627119,0.039548023,0.47963434,Low Potential,15478.198396031261
46801,CALIFORNIA FRESH MKT- PISMO,37,2,0,154,100,11,36978.97,720,52.97846705,240.1231818,4.675324675,0.649350649,0.071428571,0.47779855,Low Potential,17668.498295343816
45005,YOUNG'S MARKET,37,2,0,73,56,8,8123.77,207,39.4357767,111.2845205,2.835616438,0.767123288,0.109589041,0.47280017,Low Potential,3840.9197997918727
47694,OLIVER'S MARKET COTATI,37,2,0,153,99,6,88546.94,1951,50.97693725,578.7381699,12.75163399,0.647058824,0.039215686,0.4710639,Low Potential,41711.267944487336
46027,CORTI BROTHERS #1-FOLSOM,37,2,0,96,72,12,16464.55,386,42.65427461,171.5057292,4.020833333,0.75,0.125,0.4701251,Low Potential,7740.398362682759
47854,JJ'S MARKET,37,2,0,69,55,8,14977.6,349,43.41333333,217.0666667,5.057971014,0.797101449,0.115942029,0.46970987,Low Potential,7035.126596832276
24005,FRESCO Y MAS #0237,7,6,0,43,110,8,13000.381,281,50.58514008,302.3344419,6.534883721,2.558139535,0.186046512,0.46625987,Low Potential,6061.555915396958
18542,EVERETT MCKINNON MARKET,4,10,0,110,56,8,14136.24,384,37.39746032,128.5112727,3.490909091,0.509090909,0.072727273,0.46485594,Low Potential,6571.315121247769
12937010,G MART #2-010,20,28,0,23,5,1,9300.92,251,221.4504762,404.3878261,10.91304348,0.217391304,0.043478261,0.4630184,Low Potential,4306.496981188059
11216010,BORDER TOWN FOODS #16-010,20,28,0,6,55,6,3784.66,83,61.04290323,630.7766667,13.83333333,9.166666667,1.0,0.4610093,Low Potential,1744.7634338527916
47767,LINDSAY FOOD CENTER,37,2,0,28,95,6,28257.03,591,54.65576402,1009.179643,21.10714286,3.392857143,0.214285714,0.45320946,Low Potential,12806.353301333784
