store_nbr,store_name,chain_name,store_state,target,total_orders,total_items,total_brands,total_sales,total_qty,avg_invoice_value,sales_per_order,qty_per_order,items_per_order,brands_per_order
13268010,JHF SS-010,GS INT'L LOCALS,TX,0,28,9,4,123665.52,2342,710.7213793,4416.625714,83.64285714,0.321428571,0.142857143
11931010,COX FOODARAMA #21-010,GS FOODARAMA,TX,1,59,180,9,70161.85,942,85.14787621,1189.183898,15.96610169,3.050847458,0.152542373
32056,KMART #3829,KMART,,1,148,49,7,32250.7851,761,65.15310121,217.9107101,5.141891892,0.331081081,0.047297297
16761010,ARLANS MARKET #21-010,GS ARLANS,TX,1,104,107,7,42153.25,912,48.17514286,405.3197115,8.769230769,1.028846154,0.067307692
11933010,COX FOODARAMA #22NEW-010,GS FOODARAMA,TX,1,103,184,8,70129.88,934,81.92742991,680.8726214,9.067961165,1.786407767,0.077669903
11150010,ARCHIE'S FOOD BASKET-010,GS GULF COAST,TX,1,65,117,7,22879.74,476,47.86556485,351.996,7.323076923,1.8,0.107692308
15299010,SELLERS BROS. #1-010,GS SELLERS,TX,1,153,126,7,85256,1734,60.55113636,557.2287582,11.33333333,0.823529412,0.045751634
15909010,TRANSWLD MARITIME-LA-010,GS INT'L LOCALS,LA,1,8,1,1,999.21,30,124.90125,124.90125,3.75,0.125,0.125
12144010,DAVE STREIFFER CO.3-010,GS INT'L LOCALS,TX,0,5,34,5,3389.75,59,89.20394737,677.95,11.8,6.8,1
15328010,SELLERS BROS. #24-010,GS SELLERS,TX,1,157,127,7,91625.42,1906,58.54659425,583.6014013,12.14012739,0.808917197,0.044585987
93416,GEN MILLS GROCERY,MILITARY,MN,0,1221,116,2,892797.69,17636,66.97154677,731.2020393,14.44389844,0.095004095,0.001638002
25450,IBERIA FDS OF N.ENGLAN,METRO WHOLESALE,MA,1,26,4,1,16129.8768,564,620.3798769,620.3798769,21.69230769,0.153846154,0.038461538
15315010,SELLERS BROS. #16-010,GS SELLERS,TX,1,155,120,7,68048.73,1379,60.11371908,439.0240645,8.896774194,0.774193548,0.04516129
11910010,COX FOODARAMA #1-010,GS FOODARAMA,TX,1,90,182,8,57210.16,669,95.99020134,635.6684444,7.433333333,2.022222222,0.088888889
91287,OSC/MORTON SALT,MILITARY,FL,0,794,46,1,103685.1,2759,37.96598316,130.5857683,3.474811083,0.057934509,0.001259446
12983010,"GSM-FUJI, LLC-010",GS INT'L LOCALS,TX,1,9,1,1,1767.75,53,176.775,196.4166667,5.888888889,0.111111111,0.111111111
15313010,SELLERS BROS. #14-010,GS SELLERS,TX,0,154,107,6,70555.06,1416,60.56228326,458.1497403,9.194805195,0.694805195,0.038961039
16744010,ARLANS #14-010,GS ARLANS,TX,1,132,122,8,20106.36,461,43.99641138,152.3209091,3.492424242,0.924242424,0.060606061
14836010,LYONS MARKET-BUNKIE-010,GS LA GROUP,LA,1,96,118,8,22678.83,502,45.08713718,236.2378125,5.229166667,1.229166667,0.083333333
16762010,ARLANS MARKET #22-010,GS ARLANS,TX,1,92,89,7,25915.77,575,47.37800731,281.6931522,6.25,0.967391304,0.076086957
16750010,ARLANS #15-010,GS ARLANS,TX,1,144,123,7,24450.04,552,44.94492647,169.7919444,3.833333333,0.854166667,0.048611111
15327010,SELLERS BROS. #22-010,GS SELLERS,TX,1,146,118,7,46715.39,917,63.38587517,319.9684247,6.280821918,0.808219178,0.047945205
11134010,INT'L EXPORTS 7M-010,GS INT'L LOCALS,TX,1,39,52,6,223211.29,4401,945.8105508,5723.36641,112.8461538,1.333333333,0.153846154
12147010,DAVE STREIFFER CO.6-010,GS INT'L LOCALS,TX,0,2,28,5,4163,71,130.09375,2081.5,35.5,14,2.5
93486,OSC/MORTON SALT,MILITARY,FL,0,835,48,1,340773.38,6768,54.84844359,408.1118323,8.105389222,0.05748503,0.001197605
11914010,COX FOODARAMA#6(NEW)-010,GS FOODARAMA,TX,1,95,193,8,99601.32,1523,75.51275208,1048.434947,16.03157895,2.031578947,0.084210526
12795010,G.E. FOODLAND #9-010,GS G.E. FOODLAND,TX,0,39,55,5,7272.55,99,73.46010101,186.475641,2.538461538,1.41025641,0.128205128
32060,KMART GUAM,KMART,,1,71,22,5,28476.8366,643,157.330589,401.0822056,9.056338028,0.309859155,0.070422535
15311010,SELLERS BROS. #11-010,GS SELLERS,TX,1,157,137,7,73398.04,1606,61.73089992,467.5034395,10.22929936,0.872611465,0.044585987
16760010,ARLANS MARKET #20-010,GS ARLANS,TX,1,153,153,8,66506.46,1470,46.41064899,434.6827451,9.607843137,1,0.052287582
11582010,BUDDY'S IGA-010,GS LA GROUP,LA,1,130,91,7,14525.77,314,45.96762658,111.7366923,2.415384615,0.7,0.053846154
12535010,EXCEL DISTRIBUTION-010,GS SELLERS,TX,0,81,12,3,428874.17,8928,1340.231781,5294.74284,110.2222222,0.148148148,0.037037037
95562,EURPAC/PEPSICO GROCERY,MILITARY,CT,0,1076,18,2,133223.31,2782,52.82446868,123.8134851,2.585501859,0.016728625,0.001858736
11923010,COX FOODARAMA #8-010,GS FOODARAMA,TX,1,73,178,8,55070.38,660,95.27747405,754.3887671,9.04109589,2.438356164,0.109589041
16764010,ARLANS MARKET #23-010,GS ARLANS,TX,1,143,114,7,28284.12,624,45.61954839,197.791049,4.363636364,0.797202797,0.048951049
11681010,CPT INTERNATIONAL-010,GS INT'L LOCALS,TX,0,16,19,3,19447.11,363,474.3197561,1215.444375,22.6875,1.1875,0.1875
15318010,SELLERS BROS. #17-010,GS SELLERS,TX,1,157,123,7,110847.86,2244,64.14806713,706.0373248,14.29299363,0.78343949,0.044585987
16719010,ARLANS MARKET #16-010,GS ARLANS,TX,1,133,118,8,23743.76,597,41.36543554,178.5245113,4.488721805,0.887218045,0.060150376
59981,KDA FOOD CORP,GENERAL TRADING COMPANY,NY,0,1,1,0,82.1704,1,82.1704,82.1704,1,1,0
25428,P/U WORLD TRADE 2,METRO WHOLESALE,NY,0,3,21,5,6726.5608,173,320.312419,2242.186933,57.66666667,7,1.666666667
11915010,COX FOODARAMA #5-010,GS FOODARAMA,TX,1,98,189,9,59614.48,807,81.44054645,608.3110204,8.234693878,1.928571429,0.091836735
14830010,LYONS MARKET-MAMOU-010,GS LA GROUP,LA,1,83,73,7,12116.68,266,45.55142857,145.9840964,3.204819277,0.879518072,0.084337349
11197010,ARLAN'S MARKET #28-010,GS ARLANS,TX,0,138,92,5,31213.29,707,46.72648204,226.1832609,5.123188406,0.666666667,0.036231884
91215,GEN MILLS GROCERY,MILITARY,MN,0,1307,115,2,501521.93,9656,58.16770239,383.7199158,7.387911247,0.087987758,0.001530222
25452,LJ ZUCCA INC 2,METRO WHOLESALE,NJ,0,12,19,6,1992.3216,37,64.26843871,166.0268,3.083333333,1.583333333,0.5
12146010,DAVE STREIFFER CO.5-010,GS INT'L LOCALS,TX,0,5,43,6,5788.39,100,83.88971014,1157.678,20,8.6,1.2
25494,STEALTH ECOMMERCE,METRO WHOLESALE,NY,0,12,4,3,4314.8692,82,331.9130154,359.5724333,6.833333333,0.333333333,0.25
12793010,G.E. FOODLAND #7-010,GS G.E. FOODLAND,TX,0,37,42,5,3808.45,92,48.20822785,102.9310811,2.486486486,1.135135135,0.135135135
11175010,ARLANS MKT#8-010,GS ARLANS,TX,1,101,129,8,38894.94,899,45.70498237,385.0984158,8.900990099,1.277227723,0.079207921
12789010,G.E.FOODLAND #3-010,GS G.E. FOODLAND,TX,0,7,8,3,988.43,9,123.55375,141.2042857,1.285714286,1.142857143,0.428571429
16746010,ARLANS #13-010,GS ARLANS,TX,1,126,132,7,20628.16,485,43.51932489,163.7155556,3.849206349,1.047619048,0.055555556
11582030,BUDDY'S IGA FOOD-030,GS LA GROUP,LA,1,1,1,0,30.05,1,30.05,30.05,1,1,0
15325010,SELLERS BROS. #20-010,GS SELLERS,TX,1,157,119,7,74174.64,1538,55.31293065,472.4499363,9.796178344,0.757961783,0.044585987
25397,EMMA'S,METRO WHOLESALE,NJ,0,13,11,4,13818.2335,315,690.911675,1062.941038,24.23076923,0.846153846,0.307692308
14831010,LYONS MARKET-JENNING-010,GS LA GROUP,LA,1,100,85,7,15381.41,333,46.46951662,153.8141,3.33,0.85,0.07
91340,WK KELLOGG CO,MILITARY,MI,0,1870,122,4,479218.84,10409,59.16281975,256.2667594,5.56631016,0.065240642,0.002139037
11172010,ARLANS MKT#2-010,GS ARLANS,TX,1,152,151,8,31243.64,691,46.35554896,205.5502632,4.546052632,0.993421053,0.052631579
25482,IDMA,METRO WHOLESALE,NY,0,13,11,5,1270.1191,33,63.505955,97.70146923,2.538461538,0.846153846,0.384615385
10937010,EXPO - (KELLOGS)-010,GS Indep# 115,TX,0,1,11,2,617.45,11,56.13181818,617.45,11,11,2
11176010,ARLANS MKT#5-010,GS ARLANS,TX,0,157,112,7,54482.68,1229,47.62472028,347.0234395,7.828025478,0.713375796,0.044585987
13524010,LYONS MARKET LAFAYETTE-010,GS LA GROUP,LA,1,88,91,6,16396.04,354,46.57965909,186.3186364,4.022727273,1.034090909,0.068181818
12083010,DAVE STREIFFER CO.-010,GS INT'L LOCALS,TX,1,2,14,6,1376.23,28,91.74866667,688.115,14,7,3
60148,TRADE FAIR #7 CRESCENT FOOD,GENERAL TRADING COMPANY,NY,0,1,1,0,82.1704,1,82.1704,82.1704,1,1,0
15326010,SELLERS BROS. #21-010,GS SELLERS,TX,1,141,124,7,53983.43,1099,63.13851462,382.8612057,7.794326241,0.879432624,0.04964539
13101010,G.E. FOODLAND #51-010,GS G.E. FOODLAND,TX,0,19,17,2,2684.16,40,83.88,141.2715789,2.105263158,0.894736842,0.105263158
60114,320 FAIR FARM FOOD CORP,GENERAL TRADING COMPANY,NY,0,2,1,0,158.1666,2,79.0833,79.0833,1,0.5,0
16723010,ARLANS #17-010,GS ARLANS,TX,1,151,134,8,33582.46,775,44.12938239,222.4003974,5.132450331,0.887417219,0.052980132
25478,OTC WAREHOUSE LLC,METRO WHOLESALE,NY,0,9,4,3,3945.5915,89,438.3990556,438.3990556,9.888888889,0.444444444,0.333333333
13103010,G.E. FOODLAND #53-010,GS G.E. FOODLAND,TX,0,35,41,4,6951.94,121,59.4182906,198.6268571,3.457142857,1.171428571,0.114285714
12781010,G.E. FOODLAND #54-010,GS G.E. FOODLAND,TX,0,8,18,4,1007.75,18,55.98611111,125.96875,2.25,2.25,0.5
16464,BIG APPLE MARKET,ASSOCIATED GROCERS,NY,0,30,89,10,9189.0562,179,53.73717076,306.3018733,5.966666667,2.966666667,0.333333333
16528,SUPREME FOOD MARKET,ASSOCIATED GROCERS,NJ,0,71,157,9,46972.2743,904,71.71339588,661.5813282,12.73239437,2.211267606,0.126760563
16497,MET FRESH,ASSOCIATED GROCERS,NY,0,141,190,16,63993.4676,1335,52.97472483,453.8543801,9.468085106,1.34751773,0.113475177
26244,UNCLE GIUSEPPE'S,ASSOCIATED GROCERS,NY,0,264,193,20,112336.0286,2208,53.39164857,425.5152598,8.363636364,0.731060606,0.075757576
16522,SUPREMO FOOD MARKET,ASSOCIATED GROCERS,NJ,0,45,110,6,16100.3624,319,60.75608453,357.7858311,7.088888889,2.444444444,0.133333333
16450,DERRY FAMILY MARKET,ASSOCIATED GROCERS,PA,0,25,35,5,19983.7826,390,259.5296442,799.351304,15.6,1.4,0.2
26193,347 FOOD CORP,ASSOCIATED GROCERS,NY,0,10,46,9,2771.2293,65,44.69724677,277.12293,6.5,4.6,0.9
16518,SUPREMO FOOD MARKET,ASSOCIATED GROCERS,NJ,0,52,150,9,15402.3729,307,52.92911649,296.1994788,5.903846154,2.884615385,0.173076923
26384,WHB DAIRY PIO,ASSOCIATED GROCERS,NJ,0,12,9,3,261313.5294,3943,20101.04072,21776.12745,328.5833333,0.75,0.25
16278,COMPARE,ASSOCIATED GROCERS,NY,0,126,113,7,67753.5383,1287,78.60039246,537.7264944,10.21428571,0.896825397,0.055555556
16392,WESTERN BEEF STR# 039,ASSOCIATED GROCERS,NY,0,307,272,11,173953.4919,3021,66.31852531,566.6237521,9.840390879,0.885993485,0.035830619
16401,WESTERN BEEF STR# 065,ASSOCIATED GROCERS,NY,0,138,159,8,69190.1661,1218,66.97983166,501.3780152,8.826086957,1.152173913,0.057971014
26499,MET-FOOD CONNECT LTD,ASSOCIATED GROCERS,NY,0,268,236,11,125712.8035,2428,62.01914332,469.077625,9.059701493,0.880597015,0.041044776
16552,PIONEER OF ARTHUR AVE,ASSOCIATED GROCERS,NY,0,240,217,11,124810.2385,2496,57.88972101,520.0426604,10.4,0.904166667,0.045833333
16243,ANTILLANA SUPER FOOD,ASSOCIATED GROCERS,NY,0,94,138,9,33685.9904,659,52.38878756,358.3616,7.010638298,1.468085106,0.095744681
16409,KEY FOOD,ASSOCIATED GROCERS,NY,0,14,72,7,11924.7737,191,106.4711938,851.76955,13.64285714,5.142857143,0.5
16321,LIVOTI'S OLD WORLD MARKET,ASSOCIATED GROCERS,NJ,0,47,45,7,7950.2898,154,51.96267843,169.1551021,3.276595745,0.957446809,0.14893617
26227,UNCLE GIUSEPPE'S,ASSOCIATED GROCERS,NY,0,51,76,10,14420.2553,278,54.00844682,282.7501039,5.450980392,1.490196078,0.196078431
26035,GR 109 GROCERY CORP,ASSOCIATED GROCERS,NY,0,30,119,6,22454.8043,422,56.27770501,748.4934767,14.06666667,3.966666667,0.2
16325,ANTILLANA SUPERMARKET,ASSOCIATED GROCERS,NY,0,180,133,5,62439.6543,1261,52.29451784,346.8869683,7.005555556,0.738888889,0.027777778
26149,ROCKVILLE ASSOCIATED MKT INC,ASSOCIATED GROCERS,NY,0,159,132,11,51400.7827,1049,50.6911072,323.2753629,6.597484277,0.830188679,0.06918239
26212,CHURCH FOODS LLC,ASSOCIATED GROCERS,VA,0,61,92,11,25608.5429,526,80.02669656,419.8121787,8.62295082,1.508196721,0.180327869
16144,2285 GROCERY AND FOOD,ASSOCIATED GROCERS,NY,0,120,149,9,51470.7461,1015,58.68956226,428.9228842,8.458333333,1.241666667,0.075
16320,LIVOTI'S OLD WORLD MARKET,ASSOCIATED GROCERS,NJ,0,18,18,6,1525.4315,29,54.47969643,84.74619444,1.611111111,1,0.333333333
16595,UNCLE GIUSEPPE'S MARKETPLACE,ASSOCIATED GROCERS,NY,0,94,102,14,22072.5534,448,50.16489409,234.8143979,4.765957447,1.085106383,0.14893617
16557,SAVE A LOT,ASSOCIATED GROCERS,NY,0,11,22,4,3365.6147,62,116.0556793,305.9649727,5.636363636,2,0.363636364
26068,GOURMET GLATT,ASSOCIATED GROCERS,NY,1,71,77,7,88076.0625,1650,407.7595486,1240.507923,23.23943662,1.084507042,0.098591549
26152,117 CORONA MEAT CORP.,ASSOCIATED GROCERS,NY,0,7,19,4,3982.7199,70,181.0327227,568.9599857,10,2.714285714,0.571428571
16263,F&J SALES,ASSOCIATED GROCERS,NY,0,1,1,1,83.6506,1,83.6506,83.6506,1,1,1
26004,MET (PICK UP),ASSOCIATED GROCERS,NY,0,3,3,1,36448.9765,535,6074.829417,12149.65883,178.3333333,1,0.333333333
16379,MET FOODS,ASSOCIATED GROCERS,NY,0,148,151,10,61953.2181,1196,59.34216293,418.602825,8.081081081,1.02027027,0.067567568
26251,FAMILY SUPERMARKET,ASSOCIATED GROCERS,NJ,0,43,25,4,16439.5174,348,89.83342842,382.3143581,8.093023256,0.581395349,0.093023256
16491,LIVOTI'S OLD WORLD MARKET,ASSOCIATED GROCERS,NJ,0,48,44,9,9918.6792,213,48.14892816,206.63915,4.4375,0.916666667,0.1875
16187,BEST FARMS,ASSOCIATED GROCERS,NY,0,110,153,13,27991.2965,545,55.53828671,254.4663318,4.954545455,1.390909091,0.118181818
26198,GLOBAL LIFE PARTNERS L,ASSOCIATED GROCERS,CT,0,50,109,5,23951.256,453,59.43239702,479.02512,9.06,2.18,0.1
26160,FRANCO PARTNERS INC,ASSOCIATED GROCERS,NY,0,195,211,10,75035.1708,1465,79.6551707,384.7957477,7.512820513,1.082051282,0.051282051
16214,PIONEER,ASSOCIATED GROCERS,NY,0,96,149,7,38612.2802,754,55.79809277,402.2112521,7.854166667,1.552083333,0.072916667
26452,GUINTA'S MEAT FARMS,ASSOCIATED GROCERS,NY,0,7,12,4,843.425,30,33.737,120.4892857,4.285714286,1.714285714,0.571428571
26496,ASSOCIATED (PICK UP),ASSOCIATED GROCERS,NY,0,3,3,1,66586.5564,938,22195.5188,22195.5188,312.6666667,1,0.333333333
26235,UNCLE GIUSEPPE'S,ASSOCIATED GROCERS,NY,0,189,151,14,51781.7612,1070,56.65400569,273.9775725,5.661375661,0.798941799,0.074074074
16506,ANTILLANA SUPER FOOD,ASSOCIATED GROCERS,NY,0,131,175,11,56866.2585,1163,59.29745412,434.0935763,8.877862595,1.335877863,0.083969466
26201,TEO FOOD CORP.,ASSOCIATED GROCERS,NY,1,165,156,7,57931.6623,1154,53.3440721,351.1009836,6.993939394,0.945454545,0.042424242
16593,KEY FOOD,ASSOCIATED GROCERS,NY,0,19,78,17,4602.1439,108,44.68100874,242.2181,5.684210526,4.105263158,0.894736842
16199,LM4 INC DBA/ASSOCIATED SUPERMARKETS,ASSOCIATED GROCERS,NY,0,116,191,11,39949.8219,789,50.82674542,344.3950164,6.801724138,1.646551724,0.094827586
16110,ASSOCIATED FRESH,ASSOCIATED GROCERS,NY,0,33,110,9,14980.9033,295,51.1293628,453.9667667,8.939393939,3.333333333,0.272727273
16587,SAVE A LOT,ASSOCIATED GROCERS,PA,0,77,143,10,34823.5922,731,58.03932033,452.2544442,9.493506494,1.857142857,0.12987013
26477,MEAT SHOPPERS SUPERMARKET,ASSOCIATED GROCERS,NJ,0,15,17,3,1360.899,35,38.88282857,90.7266,2.333333333,1.133333333,0.2
16594,ASSOCIATED,ASSOCIATED GROCERS,NJ,0,79,180,9,28566.0496,569,68.01440381,361.5955646,7.202531646,2.278481013,0.113924051
16467,MET FRESH,ASSOCIATED GROCERS,NY,0,34,136,9,15893.6546,305,60.43214677,467.4604294,8.970588235,4,0.264705882
26084,ASSOCIATED AM ACCOUNT-PU,ASSOCIATED GROCERS,NJ,0,11,16,3,38622.8175,927,2032.779868,3511.165227,84.27272727,1.454545455,0.272727273
16286,PIONEER,ASSOCIATED GROCERS,NY,0,90,132,9,46197.5201,930,57.96426612,513.3057789,10.33333333,1.466666667,0.1
16596,KALAMS BAZAAR,ASSOCIATED GROCERS,NY,0,26,64,8,10913.5487,208,60.29584917,419.7518731,8,2.461538462,0.307692308
16480,ASSOCIATED FRESH,ASSOCIATED GROCERS,NY,0,78,176,10,40527.1864,792,63.62195667,519.5793128,10.15384615,2.256410256,0.128205128
16146,COMPARE FRESH,ASSOCIATED GROCERS,NJ,0,98,102,7,47213.0347,927,79.21650117,481.7656602,9.459183673,1.040816327,0.071428571
26059,STOP 1 SUPERMARKET INC,ASSOCIATED GROCERS,NY,0,14,117,5,9604.261,296,41.22000429,686.0186429,21.14285714,8.357142857,0.357142857
26505,PIO-046 FRUIT VEG MEAT,ASSOCIATED GROCERS,NY,0,252,228,11,133829.1102,2518,98.91286785,531.0678976,9.992063492,0.904761905,0.043650794
16372,KEYFOOD,ASSOCIATED GROCERS,NY,0,6,9,3,973.4282,16,81.11901667,162.2380333,2.666666667,1.5,0.5
16398,WESTERN BEEF STR# 061,ASSOCIATED GROCERS,NY,0,186,205,8,76872.0419,1264,67.49081817,413.2905478,6.795698925,1.102150538,0.043010753
16294,BROOKLYN FARE,ASSOCIATED GROCERS,NY,0,55,128,12,13492.0491,316,46.685291,245.3099836,5.745454545,2.327272727,0.218181818
16314,SUPERFOODS MARKETPLACE,ASSOCIATED GROCERS,NJ,0,36,72,6,6482.7254,153,42.37075425,180.0757056,4.25,2,0.166666667
16388,WESTERN BEEF STR# 029,ASSOCIATED GROCERS,NY,0,314,246,9,245479.6187,4154,73.82845675,781.7822252,13.22929936,0.78343949,0.02866242
16452,WESTERN BEEF STR #068,ASSOCIATED GROCERS,NY,0,242,244,10,179854.2444,3026,69.14811396,743.199357,12.50413223,1.008264463,0.041322314
16479,ANTILLANA MARKET PLACE,ASSOCIATED GROCERS,NY,0,17,60,6,5426.7267,106,52.18006442,319.2192176,6.235294118,3.529411765,0.352941176
16431,BRONX MARKETPLACE,ASSOCIATED GROCERS,NY,0,32,86,7,12928.1152,269,48.05990781,404.0036,8.40625,2.6875,0.21875
16181,GOURMET GLATT SOUTH,ASSOCIATED GROCERS,NJ,0,7,20,3,12633.2957,232,526.3873208,1804.756529,33.14285714,2.857142857,0.428571429
26472,LINCOLN MARKET,ASSOCIATED GROCERS,NY,0,266,193,25,61990.0564,1320,47.64800646,233.0453248,4.962406015,0.72556391,0.093984962
16296,KEY FOOD,ASSOCIATED GROCERS,NY,0,22,110,12,6955.6301,158,44.02297532,316.1650045,7.181818182,5,0.545454545
16503,LINCOLN MARKET,ASSOCIATED GROCERS,NY,0,156,151,12,55177.0533,1164,47.85520668,353.6990596,7.461538462,0.967948718,0.076923077
16570,COMPARE FRESH,ASSOCIATED GROCERS,NY,0,144,200,10,83105.4204,1568,64.57297622,577.120975,10.88888889,1.388888889,0.069444444
16313,SUPERFOODS MARKETPLACE,ASSOCIATED GROCERS,NJ,0,3,10,5,527.006,10,52.7006,175.6686667,3.333333333,3.333333333,1.666666667
26394,MET-ASSOC. FOOD SERV.,ASSOCIATED GROCERS,NJ,0,106,75,5,2101928.976,38113,17228.92603,19829.51864,359.5566038,0.70754717,0.047169811
16290,FOOD UNIVERSE,ASSOCIATED GROCERS,NY,0,7,40,6,2146.7137,46,46.66768913,306.6733857,6.571428571,5.714285714,0.857142857
16526,SUPREME FOOD MARKET,ASSOCIATED GROCERS,NJ,0,53,102,6,17471.2347,358,67.71796395,329.6459377,6.754716981,1.924528302,0.113207547
26541,BERRY FRESH FARM,ASSOCIATED GROCERS,NY,0,148,242,12,63474.3631,1298,70.06000342,428.8808318,8.77027027,1.635135135,0.081081081
16574,FOOD CITY,ASSOCIATED GROCERS,NY,0,109,179,12,41677.5618,852,50.03308739,382.3629523,7.816513761,1.642201835,0.110091743
26308,MET-CRITICS CHOICE DEL,ASSOCIATED GROCERS,NY,0,47,111,9,14699.9477,277,65.04401637,312.7648447,5.893617021,2.361702128,0.191489362
16442,SUPER NATURAL & FRESH PRODUCE IV,ASSOCIATED GROCERS,PA,0,3,13,3,1390.1569,25,92.67712667,463.3856333,8.333333333,4.333333333,1
16544,ASSOCIATED,ASSOCIATED GROCERS,NY,0,123,149,7,43132.6263,939,48.51813982,350.6717585,7.634146341,1.211382114,0.056910569
16298,GENERE FOOD CORP.,ASSOCIATED GROCERS,RI,0,38,5,3,23450.7967,511,488.5582646,617.1262289,13.44736842,0.131578947,0.078947368
16460,GOOD GROCER,ASSOCIATED GROCERS,NY,1,17,23,9,2028.8967,46,47.18364419,119.3468647,2.705882353,1.352941176,0.529411765
16335,NASSAU PROVISIONS KOSHER FOODS INC,ASSOCIATED GROCERS,NY,0,41,35,5,253489.3328,4825,4526.595229,6182.666654,117.6829268,0.853658537,0.12195122
26512,PIO-008 CRUZ MEAT CORP,ASSOCIATED GROCERS,NY,0,200,182,11,79805.9324,1572,57.20855369,399.029662,7.86,0.91,0.055
16573,FOOD CITY,ASSOCIATED GROCERS,NY,0,80,185,9,31438.3208,623,52.48467579,392.97901,7.7875,2.3125,0.1125
26382,ASSOCIATED GROCERS 927,ASSOCIATED GROCERS,NJ,0,133,162,7,66013.366,1173,92.45569468,496.3410977,8.819548872,1.218045113,0.052631579
26487,PROSPECT MARKET,ASSOCIATED GROCERS,NY,1,128,100,13,44026.5635,849,58.23619511,343.9575273,6.6328125,0.78125,0.1015625
26121,JAYPEEJAY FOODS INC,ASSOCIATED GROCERS,NY,1,157,141,10,35997.2052,754,51.05986553,229.2815618,4.802547771,0.898089172,0.063694268
16289,FOOD UNIVERSE,ASSOCIATED GROCERS,NY,0,5,23,5,1150.9685,25,46.03874,230.1937,5,4.6,1
16158,GOURMET GLATT,ASSOCIATED GROCERS,NJ,0,5,11,5,4163.4158,75,378.4923455,832.68316,15,2.2,1
16257,JG SERVICES (ASSOC-PICK-UP),ASSOCIATED GROCERS,NY,0,2,2,1,35836.32,1300,7167.264,17918.16,650,1,0.5
26098,ASSOCIATED (PICK UP),ASSOCIATED GROCERS,FL,0,44,42,6,592449.8145,11892,9257.028352,13464.76851,270.2727273,0.954545455,0.136363636
16517,SUPREMO FOOD MARKET,ASSOCIATED GROCERS,NJ,0,49,76,7,14955.4729,266,69.56033907,305.2137327,5.428571429,1.551020408,0.142857143
16291,FOOD UNIVERSE,ASSOCIATED GROCERS,NY,0,6,28,8,1235.4815,31,39.85424194,205.9135833,5.166666667,4.666666667,1.333333333
16449,LINCOLN MARKET,ASSOCIATED GROCERS,NY,0,291,244,24,98086.1731,2059,48.9696321,337.0658869,7.075601375,0.838487973,0.082474227
16334,BRONX FRESH FOOD CORP,ASSOCIATED GROCERS,NY,0,32,136,6,16689.3615,344,50.1182027,521.5425469,10.75,4.25,0.1875
16157,PIONEER,ASSOCIATED GROCERS,NY,0,205,206,9,104091.4488,2062,80.31747593,507.7631649,10.05853659,1.004878049,0.043902439
16496,LINCOLN MARKET,ASSOCIATED GROCERS,NY,0,164,184,14,59608.7293,1275,47.84007167,363.4678616,7.774390244,1.12195122,0.085365854
16275,PAPASITO FOOD MARKET,ASSOCIATED GROCERS,NY,0,8,27,5,1801.7014,30,60.05671333,225.212675,3.75,3.375,0.625
26340,PIO-065 380 LENOX MEAT CORP,ASSOCIATED GROCERS,NY,0,187,242,12,68018.3649,1349,59.19788068,363.7345717,7.213903743,1.294117647,0.064171123
16567,ASSOCIATED FRESH,ASSOCIATED GROCERS,NY,0,130,190,9,68978.5736,1408,53.55479317,530.6044123,10.83076923,1.461538462,0.069230769
